Prod,Temp,RH
0.6625,28,73
0.6375,28,75
0.6375,28,76
0.5375,27,78
0.5,27,80
0.5125,27,80
0.5875,27,80
0.7375,28,80
0.6875,29,73
0.625,31,61
0.3875,32,51
0.325,33,50
0.35,34,47
0.325,34,45
0.3375,33,48
0.4,32,60
0.5875,31,63
0.5875,31,63
0.625,31,63
0.55,31,62
0.6,31,63
0.6625,30,66
0.6875,30,68
0.7125,30,71
0.7,29,70
0.7,28,74
0.675,28,76
0.7125,28,77
0.725,28,78
0.825,28,80
0.9,28,80
0.875,28,72
0.5375,29,65
0.4,31,59
0.4125,32,51
0.4,34,46
0.3875,34,44
0.375,34,42
0.45,34,44
0.55,33,50
0.425,33,50
0.425,32,49
0.425,32,52
0.475,32,53
0.5,31,56
0.625,31,59
0.6625,30,60
0.6375,30,62
0.6375,29,64
0.625,29,63
0.5375,29,64
0.5125,29,63
0.525,29,65
0.4875,29,66
0.5625,29,63
0.575,29,63
0.4375,30,62
0.375,31,56
0.325,32,53
0.35,32,53
0.275,32,53
0.275,32,54
0.325,32,54
0.3125,32,55
0.3375,32,55
0.2625,32,56
0.35,31,58
0.3,31,59
0.25,31,60
0.3,31,61
0.225,30,62
0.275,30,65
0.2625,29,72
0.2125,29,71
0.225,28,73
0.2125,26,81
0.1375,25,85
0.1125,26,84
0.1625,26,81
0.1875,26,81
0.175,27,83
0.1875,28,80
0.2,28,77
0.2,29,72
0.225,30,65
0.1875,31,61
0.175,30,63
0.2,30,65
0.175,30,63
0.2,29,63
0.175,29,65
0.1875,29,68
0.2125,28,69
0.2125,28,71
0.25,28,71
0.2125,28,71
0.175,28,72
0.1375,28,73
0.175,28,74
0.2125,27,75
0.2375,27,76
0.2625,27,76
0.325,28,75
0.375,28,73
0.3375,29,67
0.2,29,64
0.1875,30,60
0.2,31,58
0.2625,31,55
0.225,31,56
0.1875,32,56
0.1625,31,57
0.175,31,56
0.2,31,58
0.2,30,61
0.2625,30,62
0.3125,30,61
0.3125,29,66
0.25,29,65
0.2625,28,62
0.125,28,61
0.2,28,62
0.175,27,64
0.1375,27,66
0.15,26,67
0.275,26,69
0.275,26,70
0.2625,27,67
0.25,28,62
0.1875,29,53
0.2375,30,47
0.2625,31,47
0.3,31,46
0.25,32,46
0.2,32,46
0.2375,32,47
0.325,32,47
0.2375,31,49
0.3625,30,52
0.275,30,54
0.2875,30,55
0.325,29,58
0.3375,29,58
0.2875,28,59
0.2625,27,61
0.4,27,62
0.3375,27,63
0.325,27,64
0.4625,26,66
0.425,26,67
0.4125,26,67
0.4875,26,65
0.4875,27,61
0.45,29,55
0.4,31,48
0.3625,32,45
0.325,32,43
0.3375,33,42
0.35,33,42
0.3125,33,43
0.3875,32,45
0.35,32,46
0.325,31,49
0.3875,31,51
0.4625,31,53
0.5625,30,53
0.5125,29,55
0.4,29,58
0.4,28,58
0.45,28,59
0.4125,28,59
0.4125,28,59
0.4,27,61
0.4375,27,62
0.4875,27,64
0.45,27,64
0.5,28,59
0.45,30,52
0.475,31,49
0.5,32,46
0.5125,32,43
0.5375,32,44
0.55,32,44
0.525,32,44
0.6,32,44
0.5,31,47
0.4875,31,48
0.5125,30,49
0.5125,30,50
0.5125,29,51
0.5125,29,55
0.4875,28,57
0.475,28,56
0.4875,27,58
0.4375,27,58
0.45,27,61
0.5,26,62
0.4625,26,62
0.525,26,65
0.525,26,64
0.4125,27,61
0.45,29,54
0.4,30,48
0.35,30,46
0.375,31,43
0.3875,31,42
0.2875,32,41
0.375,32,42
0.3625,32,43
0.475,31,43
0.4,30,46
0.4125,30,48
0.5,29,51
0.4875,29,54
0.525,28,54
0.4125,27,57
0.3375,27,60
0.375,26,57
0.375,26,57
0.3625,26,60
0.3625,25,61
0.3375,25,62
0.375,25,61
0.4,26,58
0.4125,27,53
0.425,29,47
0.3125,30,43
0.3125,31,38
0.3,32,34
0.2875,33,29
0.225,33,28
0.275,33,29
0.3,32,31
0.2875,31,33
0.2625,30,42
0.3375,30,44
0.55,30,47
0.575,29,48
0.5625,29,50
0.575,28,51
0.425,27,47
0.35,27,50
0.3375,26,51
0.4,25,53
0.4125,25,54
0.45,25,53
0.35,25,56
0.3375,25,56
0.3875,27,50
0.4125,29,45
0.3625,30,40
0.35,31,37
0.3125,32,34
0.3125,33,32
0.3125,32,33
0.275,32,33
0.3,32,36
0.25,31,39
0.275,30,42
0.35,30,44
0.425,29,47
0.525,29,49
0.45,28,49
0.4625,27,45
0.4625,27,45
0.375,26,48
0.3375,25,50
0.3375,25,51
0.275,25,50
0.3,25,51
0.3,24,53
0.3875,25,51
0.3625,27,45
0.3625,29,35
0.325,30,30
0.2875,31,27
0.2375,32,25
0.25,32,25
0.2375,32,26
0.2375,32,27
0.25,31,29
0.275,31,30
0.3125,30,33
0.2875,30,36
0.35,29,38
0.4125,29,41
0.425,28,47
0.3625,27,51
0.425,27,53
0.45,26,54
0.425,26,54
0.4,25,55
0.425,25,55
0.4125,25,58
0.425,25,59
0.475,25,59
0.575,26,56
0.5625,28,50
0.5125,29,46
0.45,30,43
0.4125,31,42
0.3375,31,42
0.3375,31,41
0.2625,31,41
0.25,31,45
0.2875,30,49
0.35,29,54
0.4,29,55
0.3875,29,55
0.4,28,58
0.4,28,59
0.3375,27,61
